Actual_NDVI,Expected_NDVI,Location,Residual_NDVI,VH,date,month,year
0.568971992,0.575894284,Healthy Forest,-0.006922293,-15.39594022,2019-03,3,2019
0.595858574,0.570787668,Healthy Forest,0.025070906,-14.66392358,2019-04,4,2019
0.897661924,0.872633326,Healthy Forest,0.025028598,-15.04765897,2019-05,5,2019
0.91880995,0.920016897,Healthy Forest,-0.001206946,-15.63447722,2019-06,6,2019
0.920076013,0.913891423,Healthy Forest,0.00618459,-14.88084708,2019-07,7,2019
0.865288436,0.902811038,Healthy Forest,-0.037522602,-15.13031607,2019-08,8,2019
0.910428345,0.910060847,Healthy Forest,3.67E-04,-16.16749196,2019-09,9,2019
0.826021373,0.770171791,Healthy Forest,0.055849582,-15.76903167,2019-10,10,2019
0.652336001,0.661522806,Healthy Forest,-0.009186804,-13.61502462,2019-11,11,2019
0.649745107,0.674449134,Healthy Forest,-0.024704027,-13.28888576,2019-12,12,2019
0.663429558,0.637955844,Healthy Forest,0.025473714,-17.38529169,2020-01,1,2020
0.604015827,0.609625071,Healthy Forest,-0.005609244,-15.69768142,2020-02,2,2020
0.585075736,0.575894284,Healthy Forest,0.009181452,-14.37928248,2020-03,3,2020
0.567266166,0.570787668,Healthy Forest,-0.003521502,-13.64244696,2020-04,4,2020
0.872603178,0.872633326,Healthy Forest,-3.01E-05,-14.48354503,2020-05,5,2020
0.913303077,0.920016897,Healthy Forest,-0.00671382,-15.0282186,2020-06,6,2020
0.894467533,0.913891423,Healthy Forest,-0.01942389,-14.58052204,2020-07,7,2020
0.91790241,0.902811038,Healthy Forest,0.015091372,-14.60402582,2020-08,8,2020
0.913662553,0.910060847,Healthy Forest,0.003601706,-14.84977612,2020-09,9,2020
0.645323515,0.661522806,Healthy Forest,-0.016199291,-14.51755888,2020-11,11,2020
0.637310624,0.674449134,Healthy Forest,-0.03713851,-16.44146767,2020-12,12,2020
0.569088519,0.609625071,Healthy Forest,-0.040536553,-14.11596333,2021-02,2,2021
0.596614301,0.575894284,Healthy Forest,0.020720017,-15.40367855,2021-03,3,2021
0.549563825,0.570787668,Healthy Forest,-0.021223843,-14.00471751,2021-04,4,2021
0.755002022,0.872633326,Healthy Forest,-0.117631304,-14.21845431,2021-05,5,2021
0.929972589,0.920016897,Healthy Forest,0.009955692,-15.1560801,2021-06,6,2021
0.914095759,0.913891423,Healthy Forest,2.04E-04,-14.50282908,2021-07,7,2021
0.903850734,0.902811038,Healthy Forest,0.001039696,-14.71871952,2021-08,8,2021
0.920437455,0.910060847,Healthy Forest,0.010376608,-15.71610417,2021-09,9,2021
0.774333179,0.770171791,Healthy Forest,0.004161388,-14.89628728,2021-10,10,2021
0.743728161,0.674449134,Healthy Forest,0.069279027,-16.05790566,2021-12,12,2021
0.613637984,0.637955844,Healthy Forest,-0.024317861,-16.02547627,2022-01,1,2022
0.660367191,0.609625071,Healthy Forest,0.05074212,-16.76072212,2022-02,2,2022
0.588053882,0.575894284,Healthy Forest,0.012159598,-17.50045851,2022-03,3,2022
0.570462108,0.570787668,Healthy Forest,-3.26E-04,-13.01951034,2022-04,4,2022
0.924918115,0.872633326,Healthy Forest,0.052284789,-14.82565888,2022-05,5,2022
0.925764263,0.920016897,Healthy Forest,0.005747366,-16.17261053,2022-06,6,2022
0.923733413,0.913891423,Healthy Forest,0.00984199,-13.50362049,2022-07,7,2022
0.914827645,0.902811038,Healthy Forest,0.012016606,-16.32720068,2022-08,8,2022
0.897940338,0.910060847,Healthy Forest,-0.012120509,-16.09511795,2022-09,9,2022
0.62130177,0.770171791,Healthy Forest,-0.148870021,-15.93306062,2022-10,10,2022
0.686908901,0.661522806,Healthy Forest,0.025386095,-15.18180075,2022-11,11,2022
0.641409457,0.674449134,Healthy Forest,-0.033039677,-13.51743356,2022-12,12,2022
0.636799991,0.637955844,Healthy Forest,-0.001155853,-13.99025632,2023-01,1,2023
0.605028749,0.609625071,Healthy Forest,-0.004596323,-15.39533637,2023-02,2,2023
0.54075551,0.575894284,Healthy Forest,-0.035138774,-14.84743999,2023-03,3,2023
0.912981391,0.872633326,Healthy Forest,0.040348065,-13.44906976,2023-05,5,2023
0.912234604,0.920016897,Healthy Forest,-0.007782292,-15.97593691,2023-06,6,2023
0.917084396,0.913891423,Healthy Forest,0.003192973,-14.87492952,2023-07,7,2023
0.912185967,0.902811038,Healthy Forest,0.009374928,-13.79047383,2023-08,8,2023
0.907835543,0.910060847,Healthy Forest,-0.002225304,-16.52293264,2023-09,9,2023
0.859030843,0.770171791,Healthy Forest,0.088859051,-14.72587614,2023-10,10,2023
0.700052321,0.674449134,Healthy Forest,0.025603187,-14.11946371,2023-12,12,2023
0.827000797,0.609625071,Dense Forest 1,0.217375726,-16.14105219,2019-02,2,2019
0.806837022,0.575894284,Dense Forest 1,0.230942738,-16.73085232,2019-03,3,2019
0.744481742,0.570787668,Dense Forest 1,0.173694074,-15.22608843,2019-04,4,2019
0.770136058,0.872633326,Dense Forest 1,-0.102497268,-15.08192375,2019-05,5,2019
0.775581002,0.920016897,Dense Forest 1,-0.144435894,-15.24296555,2019-06,6,2019
0.806878328,0.913891423,Dense Forest 1,-0.107013094,-15.16469969,2019-07,7,2019
